Expérience,Ciment,Argile,Alumine,Verre,Chamotte,Conductivité thermique,Résistance Mécanique
1.0,15.0,10.0,35.0,20.0,20.0,2.9,16.876
2.0,15.0,5.0,45.0,20.0,15.0,0.324,22.879
3.0,5.0,10.0,45.0,20.0,20.0,0.498,24.643
4.0,15.0,5.0,35.0,30.0,15.0,1.659,16.221
5.0,5.0,10.0,35.0,30.0,20.0,0.986,17.769
6.0,5.0,5.0,45.0,30.0,15.0,1.245,20.552
7.0,15.0,10.0,40.0,20.0,15.0,0.563,21.888
8.0,10.0,10.0,45.0,20.0,15.0,0.208,23.229
9.0,15.0,10.0,35.0,25.0,15.0,0.872,17.345
10.0,10.0,10.0,35.0,30.0,15.0,1.578,16.998
11.0,5.0,10.0,45.0,25.0,15.0,0.127,22.651
12.0,5.0,10.0,40.0,30.0,15.0,0.956,19.678
13.0,15.0,5.0,40.0,20.0,20.0,1.818,18.523
14.0,15.0,5.0,35.0,25.0,20.0,0.981,14.789
15.0,10.0,5.0,45.0,20.0,20.0,0.547,21.452
16.0,5.0,5.0,45.0,25.0,20.0,0.1077,20.234
17.0,10.0,5.0,35.0,30.0,20.0,1.113,13.873
18.0,5.0,5.0,40.0,30.0,20.0,0.621,17.804
19.0,10.0,7.5,40.0,25.0,17.5,0.125,22.68
